chr	start	end
2	112422224	113694145
2	113694146	114851190
2	114851191	115752286
2	115752287	117822101
2	117822102	119106057
2	119106058	120031698
2	120031699	121186728
2	121186729	121483785
2	121483786	121853738
2	121853739	122588385
2	122588386	123771075
2	123771076	125341805
2	125341806	127398038
2	127398039	127843489
2	127843490	129172944
2	129172945	129542173
2	129542174	130527538
2	130527539	131733404
2	131733405	132923879
2	132923880	133389903
2	133389904	133952040
2	133952041	134624276
2	134624277	135214570
2	135214571	137041366
2	137041367	138053536
2	138053537	139061526
2	139061527	140652285
2	140652286	141803602
2	141803603	142636020
2	142636021	143893576
2	143893577	144690405
2	144690406	146312315
2	146312316	148175799
2	148175800	149591801
2	149591802	151190677
2	151190678	151715774
2	151715775	153198846
2	153198847	154341733
2	154341734	155391005
2	155391006	157558583
2	157558584	158410196
2	158410197	158889228
2	158889229	160056914
2	160056915	162960873
2	162960874	164377868
2	164377869	165557557
2	165557558	167124221
2	167124222	168439658
2	168439659	169211068
2	169211069	169967174
2	169967175	170618240
2	170618241	171224632
2	171224633	171527966
2	171527967	172932784
2	172932785	173589876
2	173589877	174249151
2	174249152	174490875
2	174490876	175371710
2	175371711	176736761
2	176736762	177363636
2	177363637	178148288
2	178148289	180202460
2	180202461	180663444
2	180663445	181811957
2	181811958	183166635
2	183166636	184442530
2	184442531	187686062
2	187686063	190358807
2	190358808	191873553
2	191873554	192429694
2	192429695	192865778
2	192865779	194155803
2	194155804	195785764
2	195785765	197139682
2	197139683	198954774
2	198954775	200201112
2	200201113	202503225
2	202503226	204445827
2	204445828	205146040
2	205146041	206048646
2	206048647	206494560
2	206494561	206797745
2	206797746	207840332
2	207840333	208678403
2	208678404	209748709
2	209748710	211653368
2	211653369	212412738
2	212412739	213041418
2	213041419	213762866
2	213762867	215572511
2	215572512	216449837
2	216449838	216859743
2	216859744	217512557
2	217512558	217942715
2	217942716	218664633
2	218664634	219050791
2	219050792	220334821
2	220334822	220776816
2	220776817	221447556
2	221447557	222030838
2	222030839	222681528
2	222681529	223351343
2	223351344	224004936
2	224004937	224858750
2	224858751	225987420
2	225987421	226859021
2	226859022	227666857
2	227666858	228289783
2	228289784	228638684
2	228638685	229592304
2	229592305	230283310
2	230283311	230903875
2	230903876	231532405
2	231532406	231896979
2	231896980	232795753
2	232795754	233805812
2	233805813	234142691
2	234142692	234942723
2	234942724	235248741
2	235248742	235513218
2	235513219	235805573
2	235805574	236044839
2	236044840	236471151
2	236471152	237011416
2	237011417	237573900
2	237573901	238208745
2	238208746	238503050
2	238503051	239053436
2	239053437	239901835
2	239901836	240327863
2	240327864	240627052
2	240627053	240971450
2	240971451	241382083
2	241382084	241954084
2	241954085	242980063
2	243090998	536870911
3	1	676504
3	676505	1299185
3	1299186	1659646
3	1659647	2157717
3	2157718	2615203
3	2615204	2863279
3	2863280	3046754
3	3046755	3165907
3	3165908	3558736
3	3558737	3844289
3	3844290	4608360
3	4608361	4842231
3	4842232	5078393
3	5078394	5411891
3	5411892	5740146
3	5740147	6136434
3	6136435	6725002
3	6725003	7006880
3	7006881	7509715
3	7509716	7990995
3	7990996	8645740
3	8645741	8766421
3	8766422	9160213
3	9160214	9617634
3	9617635	10379447
3	10379448	10780904
3	10780905	11075745
3	11075746	11809955
3	11809956	12859500
3	12859501	13217582
3	13217583	13661047
3	13661048	14447973
3	14447974	14666117
3	14666118	15341601
3	15341602	16474332
3	16474333	17219137
3	17219138	18928109
3	18928110	19980327
3	19980328	20957097
3	20957098	21783992
3	21783993	22154424
3	22154425	22915941
3	22915942	23803541
3	23803542	24495468
3	24495469	24878349
3	24878350	25509351
3	25509352	26544115
3	26544116	27037728
3	27037729	28052328
3	28052329	29141696
3	29141697	29411623
3	29411624	29961937
3	29961938	30566719
3	30566720	31275342
3	31275343	31933750
3	31933751	32372396
3	32372397	33254042
3	33254043	34814647
3	34814648	36411419
3	36411420	37603667
3	37603668	38724849
3	38724850	39739975
3	39739976	41021263
3	41021264	42415966
3	42415967	43801941
3	43801942	45130158
3	45130159	45821111
3	45821112	51824167
3	51824168	53634426
3	53634427	54378600
3	54378601	54884310
3	54884311	55615260
3	55615261	56525277
3	56525278	58155230
3	58155231	59353090
3	59353091	59775456
3	59775457	60141414
3	60141415	60481459
3	60481460	61040175
3	61040176	61727718
3	61727719	62406217
3	62406218	62675552
3	62675553	63437416
3	63437417	64116376
3	64116377	64479767
3	64479768	65153760
3	65153761	65723402
3	65723403	66576922
3	66576923	67297481
3	67297482	67894662
3	67894663	68977647
3	68977648	69641296
3	69641297	70598194
3	70598195	71432501
3	71432502	71744099
3	71744100	72207174
3	72207175	72528338
3	72528339	72891085
3	72891086	73468527
3	73468528	73986720
3	73986721	74526216
3	74526217	75700584
3	75700585	76855676
3	76855677	77509454
3	77509455	79024541
3	79024542	82023469
3	82023470	86292618
3	86292619	88726844
3	88726845	96243765
3	96243766	98767766
3	98767767	100592621
3	100592622	101904549
3	101904550	103165552
3	103165553	104354201
3	104354202	105338346
3	105338347	106334134
3	106334135	107074484
3	107074485	108554371
3	108554372	109994377
3	109994378	111237616
3	111237617	112184772
3	112184773	113318748
3	113318749	114132129
3	114132130	115284990
3	115284991	115605955
3	115605956	116453959
3	116453960	117011255
3	117011256	117822894
3	117822895	119101375
3	119101376	120340165
3	120340166	122289369
3	122289370	122857849
3	122857850	123460513
3	123460514	124679034
3	124679035	125128677
3	125128678	126215694
3	126215695	127155708
3	127155709	128184416
3	128184417	129750377
3	129750378	131242864
3	131242865	132059280
3	132059281	133226149
3	133226150	133709523
3	133709524	134540410
3	134540411	135288025
3	135288026	137442186
3	137442187	139032333
3	139032334	139889396
3	139889397	140766806
3	140766807	141408287
3	141408288	142647647
3	142647648	143166042
3	143166043	143973097
3	143973098	145352404
3	145352405	146381657
3	146381658	147494219
3	147494220	148344572
3	148344573	148968121
3	148968122	149308576
3	149308577	150056927
3	150056928	150668987
3	150668988	151904190
3	151904191	153060454
3	153060455	154482068
3	154482069	155045430
3	155045431	156351846
3	156351847	158614163
3	158614164	159611291
3	159611292	161625084
3	161625085	164955741
3	164955742	167117143
3	167117144	168269756
3	168269757	169039385
3	169039386	170169620
3	170169621	171041055
3	171041056	171563717
3	171563718	171888455
3	171888456	172374119
3	172374120	172973618
3	172973619	173466014
3	173466015	174418262
3	174418263	174992869
3	174992870	175509680
3	175509681	176270078
3	176270079	176968359
3	176968360	177531847
3	177531848	179019705
3	179019706	179794715
3	179794716	181558759
3	181558760	182314029
3	182314030	183098648
3	183098649	183771386
3	183771387	184312106
3	184312107	184876706
3	184876707	185848173
3	185848174	186079990
3	186079991	186460385
3	186460386	186784230
3	186784231	187221936
3	187221937	187802669
3	187802670	188201380
3	188201381	188448320
3	188448321	188850633
3	188850634	189225193
3	189225194	189559757
3	189559758	190228348
3	190228349	190583269
3	190583270	191142545
3	191142546	192050480
3	192050481	192334883
3	192334884	192812473
3	192812474	193591466
3	193591467	193821218
3	193821219	193963483
3	193963484	194264795
3	194264796	194704482
3	194704483	195399075
3	195399076	196322359
3	196322360	196728580
3	196728581	197303737
3	197303738	536870911
4	1	843508
4	843509	1859056
4	1859057	3383674
4	3383675	3703725
4	3703726	4104661
4	4104662	4570005
4	4570006	5011995
4	5011996	5232548
4	5232549	5682811
4	5682812	5944519
4	5944520	6140737
4	6140738	6346602
4	6346603	6551475
4	6551476	6895875
4	6895876	7209027
4	7209028	7366947
4	7366948	7537142
4	7537143	7740470
4	7740471	8128224
4	8128225	8367799
4	8367800	9607133
4	9607134	11050571
4	11050572	11586641
4	11586642	12893993
4	12893994	13787277
4	13787278	14271420
4	14271421	14858392
4	14858393	15914006
4	15914007	16519719
4	16519720	16885800
4	16885801	17510236
4	17510237	18841225
4	18841226	20484876
4	20484877	21335363
4	21335364	22395954
4	22395955	23447435
4	23447436	24134520
4	24134521	24651195
4	24651196	25029817
4	25029818	25603932
4	25603933	25868887
4	25868888	26183614
4	26183615	27056357
4	27056358	27668207
4	27668208	28872833
4	28872834	29772933
4	29772934	30454312
4	30454313	31403330
4	31403331	32592691
4	32592692	33388353
4	33388354	35151237
4	35151238	36021104
4	36021105	37256470
4	37256471	37758827
4	37758828	38238718
4	38238719	38908038
4	38908039	39803506
4	39803507	40432406
4	40432407	40726020
4	40726021	41371330
4	41371331	41826336
4	41826337	42904919
4	42904920	45187345
4	45187346	47544598
4	47544599	54382119
4	54382120	55167287
4	55167288	55751945
4	55751946	56089259
4	56089260	57103047
4	57103048	57503077
4	57503078	58013351
4	58013352	58934813
4	58934814	60741389
4	60741390	61873612
4	61873613	62754320
4	62754321	64119406
4	64119407	65819506
4	65819507	67129353
4	67129354	68472604
4	68472605	70725821
4	70725822	72015456
4	72015457	73179310
4	73179311	75197415
4	75197416	75983487
4	75983488	77132557
4	77132558	77866648
4	77866649	78624604
4	78624605	79882723
4	79882724	81060836
4	81060837	82339023
4	82339024	83085123
4	83085124	83943690
4	83943691	84273025
4	84273026	84800475
4	84800476	86307009
4	86307010	87182910
4	87182911	89029252
4	89029253	89742764
4	89742765	90499545
4	90499546	91926375
4	91926376	94231375
4	94231376	95596188
4	95596189	96213821
4	96213822	96732967
4	96732968	98257605
4	98257606	100322786
4	100322787	101251555
4	101251556	102606843
4	102606844	104380632
4	104380633	105517973
4	105517974	107299415
4	107299416	108606943
4	108606944	109657931
4	109657932	110660498
4	110660499	111324679
4	111324680	112021746
4	112021747	113346665
4	113346666	114068787
4	114068788	114682714
4	114682715	115666436
4	115666437	117560749
4	117560750	118939953
4	118939954	121393821
4	121393822	122235397
4	122235398	123557286
4	123557287	124628029
4	124628030	126164491
4	126164492	127237857
4	127237858	129467781
4	129467782	130129275
4	130129276	131282974
4	131282975	132956813
4	132956814	134342219
4	134342220	135838818
4	135838819	137405240
4	137405241	137989536
4	137989537	139195802
4	139195803	139612339
4	139612340	140517700
4	140517701	140976736
4	140976737	141563992
4	141563993	142212316
4	142212317	143442396
4	143442397	145227880
4	145227881	146824778
4	146824779	148229316
4	148229317	149138636
4	149138637	150682852
4	150682853	153032049
4	153032050	153586001
4	153586002	154015564
4	154015565	154546103
4	154546104	155432172
4	155432173	156129182
4	156129183	156745915
4	156745916	157486220
4	157486221	158742582
4	158742583	160375940
4	160375941	161423668
4	161423669	162503865
4	162503866	163414028
4	163414029	164256735
4	164256736	165222102
4	165222103	165764699
4	165764700	166593706
4	166593707	167644384
4	167644385	168620546
4	168620547	169569516
4	169569517	169986809
4	169986810	171209592
4	171209593	172612801
4	172612802	173803914
4	173803915	174626012
4	174626013	175097435
4	175097436	175817864
4	175817865	176669806
4	176669807	177293882
4	177293883	177891168
4	177891169	178296647
4	178296648	178991775
4	178991776	179549696
4	179549697	180248891
4	180248892	180962285
4	180962286	181361180
4	181361181	181826838
4	181826839	182288767
4	182288768	182732161
4	182732162	183124733
4	183124734	183472582
4	183472583	183761970
4	183761971	184311757
4	184311758	184572686
4	184572687	184849456
4	184849457	185203591
4	185203592	185514430
4	185514431	185935856
4	185935857	186390142
4	186390143	186594332
4	186594333	186908343
4	186908344	187235877
4	187235878	187679355
4	187679356	187984310
4	187984311	188690482
4	188690483	189025972
4	189025973	189523204
4	189523205	189912144
4	189912145	190499230
4	190499231	190641806
4	190641807	536870911
5	1	981019
5	981020	1391161
5	1391162	1771032
5	1771033	2135268
5	2135269	2400566
5	2400567	2669057
5	2669058	2981040
5	2981041	3205018
5	3205019	3615086
5	3615087	3895815
5	3895816	4399383
5	4399384	4674868
5	4674869	5139550
5	5139551	5405699
5	5405700	5799292
5	5799293	6320497
5	6320498	6859077
5	6859078	7487961
5	7487962	8073378
5	8073379	8586827
5	8586828	9205382
5	9205383	9717016
5	9717017	10037446
5	10037447	10533767
5	10533768	10795348
5	10795349	11303908
5	11303909	11848871
5	11848872	13737700
5	13737701	14375908
5	14375909	14908578
5	14908579	16286973
5	16286974	16759657
5	16759658	17092491
5	17092492	17724802
5	17724803	18657719
5	18657720	19541690
5	19541691	21573686
5	21573687	22812893
5	22812894	24012540
5	24012541	24862568
5	24862569	26187322
5	26187323	26966363
5	26966364	28306127
5	28306128	29715275
5	29715276	30940316
5	30940317	31391406
5	31391407	31750328
5	31750329	31919875
5	31919876	32454038
5	32454039	32989116
5	32989117	33675395
5	33675396	34566488
5	34566489	35047845
5	35047846	36180787
5	36180788	36668382
5	36668383	38047500
5	38047501	38466000
5	38466001	38925370
5	38925371	40287729
5	40287730	42918296
5	42918297	51428358
5	51428359	52661688
5	52661689	53702093
5	53702094	54250642
5	54250643	55445044
5	55445045	55920862
5	55920863	56730383
5	56730384	57722340
5	57722341	58721649
5	58721650	60935451
5	60935452	62532892
5	62532893	64776811
5	64776812	65910316
5	65910317	66278398
5	66278399	67223948
5	67223949	67737628
5	67737629	69478974
5	69478975	71241513
5	71241514	72464994
5	72464995	73202480
5	73202481	73516925
5	73516926	73947979
5	73947980	75242395
5	75242396	75745079
5	75745080	76142020
5	76142021	76509129
5	76509130	77223246
5	77223247	78061140
5	78061141	78859573
5	78859574	79392941
5	79392942	80365315
5	80365316	81179142
5	81179143	82154098
5	82154099	82955664
5	82955665	83509108
5	83509109	84444333
5	84444334	87017336
5	87017337	89005227
5	89005228	90483225
5	90483226	92082627
5	92082628	94197884
5	94197885	95144746
5	95144747	96373750
5	96373751	97316983
5	97316984	99940696
5	99940697	102854021
5	102854022	103545551
5	103545552	105795436
5	105795437	106800582
5	106800583	107263596
5	107263597	108638960
5	108638961	109608640
5	109608641	110896405
5	110896406	112302521
5	112302522	113603768
5	113603769	114831239
5	114831240	115827945
5	115827946	116188453
5	116188454	116539975
5	116539976	117598341
5	117598342	118977596
5	118977597	119982718
5	119982719	121189496
5	121189497	122002653
5	122002654	123240907
5	123240908	123902174
5	123902175	124490443
5	124490444	125125024
5	125125025	125866090
5	125866091	126940058
5	126940059	128506589
5	128506590	131811182
5	131811183	132665524
5	132665525	133089166
5	133089167	134380531
5	134380532	134892405
5	134892406	135858886
5	135858887	137950183
5	137950184	139408104
5	139408105	141142760
5	141142761	141417287
5	141417288	142022248
5	142022249	142462016
5	142462017	143015669
5	143015670	144695990
5	144695991	145318646
5	145318647	146434800
5	146434801	147181099
5	147181100	147865059
5	147865060	148660697
5	148660698	149080020
5	149080021	149487941
5	149487942	149991248
5	149991249	150564365
5	150564366	151058179
5	151058180	152867311
5	152867312	153797880
5	153797881	154772224
5	154772225	156145119
5	156145120	157530478
5	157530479	158826310
5	158826311	159292703
5	159292704	159868247
5	159868248	160910659
5	160910660	162091051
5	162091052	163124910
5	163124911	163803300
5	163803301	165027752
5	165027753	165524933
5	165524934	166289264
5	166289265	166848596
5	166848597	167269862
5	167269863	167767862
5	167767863	168283845
5	168283846	168620924
5	168620925	169351134
5	169351135	169708691
5	169708692	169949462
5	169949463	170902675
5	170902676	171174351
5	171174352	171578654
5	171578655	172129781
5	172129782	172678983
5	172678984	172864791
5	172864792	173187318
5	173187319	173736500
5	173736501	174063631
5	174063632	174429248
5	174429249	174684808
5	174684809	175003537
5	175003538	175329033
5	175329034	176235075
5	176235076	177180958
5	177180959	177686995
5	177686996	178089232
5	178089233	178615162
5	178615163	178737752
5	178737753	179400847
5	179400848	180015468
5	180015469	180314337
5	180314338	536870911
6	1	380089
6	380090	826851
6	826852	1135502
6	1135503	1385286
6	1385287	1593646
6	1593647	1987913
6	1987914	2700022
6	2700023	3072951
6	3072952	3415302
6	3415303	3857624
6	3857625	4315210
6	4315211	4711659
6	4711660	5095147
6	5095148	5643835
6	5643836	5974539
6	5974540	6350381
6	6350382	6784284
6	6784285	6957603
6	6957604	7678155
6	7678156	8258231
6	8258232	9020424
6	9020425	9953899
6	9953900	10380456
6	10380457	10906256
6	10906257	11355374
6	11355375	11908546
6	11908547	12366819
6	12366820	12926726
6	12926727	13755585
6	13755586	14353378
6	14353379	14802687
6	14802688	15998368
6	15998369	16493863
6	16493864	16920208
6	16920209	17759737
6	17759738	19450017
6	19450018	19827421
6	19827422	20205652
6	20205653	21166705
6	21166706	21684936
6	21684937	22154000
6	22154001	22748186
6	22748187	23380026
6	23380027	23659465
6	23659466	24185739
6	24185740	25030326
6	25030327	26260070
6	26260071	29859517
6	29859518	31343100
6	31343101	32804570
6	32804571	33645457
6	33645458	34034441
6	34034442	35755658
6	35755659	36756422
6	36756423	37170472
6	37170473	37708709
6	37708710	39022698
6	39022699	39720765
6	39720766	40431779
6	40431780	41169679
6	41169680	41480183
6	41480184	41994569
6	41994570	42237463
6	42237464	42822604
6	42822605	43783339
6	43783340	43960263
6	43960264	44421240
6	44421241	45520030
6	45520031	46028186
6	46028187	47000521
6	47000522	48280842
6	48280843	50622850
6	50622851	52209988
6	52209989	52828213
6	52828214	53456682
6	53456683	54624647
6	54624648	56203840
6	56203841	63914554
6	63914555	66256153
6	66256154	67556820
6	67556821	69075243
6	69075244	70745978
6	70745979	71752702
6	71752703	73325585
6	73325586	74056155
6	74056156	75845113
6	75845114	77529293
6	77529294	79862848
6	79862849	81402742
6	81402743	83219541
6	83219542	85034839
6	85034840	87067181
6	87067182	88552836
6	88552837	88946793
6	88946794	90018388
6	90018389	90814199
6	90814200	91520858
6	91520859	92014849
6	92014850	93429548
6	93429549	94677085
6	94677086	96085584
6	96085585	97541325
6	97541326	99218276
6	99218277	100591429
6	100591430	101864110
6	101864111	102638299
6	102638300	104213975
6	104213976	105552470
6	105552471	106122868
6	106122869	106410972
6	106410973	107179622
6	107179623	107510072
6	107510073	108332377
6	108332378	109078539
6	109078540	110305764
6	110305765	111393061
6	111393062	112660334
6	112660335	114220349
6	114220350	116313416
6	116313417	118116823
6	118116824	120336680
6	120336681	121906297
6	121906298	123196340
6	123196341	124098436
6	124098437	124596951
6	124596952	125209686
6	125209687	125713969
6	125713970	127542953
6	127542954	129301907
6	129301908	130054162
6	130054163	130827482
6	130827483	131800012
6	131800013	132644035
6	132644036	133079994
6	133079995	134314963
6	134314964	134568921
6	134568922	135272356
6	135272357	136506360
6	136506361	137306056
6	137306057	137873690
6	137873691	138544107
6	138544108	139131996
6	139131997	139645295
6	139645296	140251033
6	140251034	142868502
6	142868503	143725397
6	143725398	144510926
6	144510927	145319707
6	145319708	147020609
6	147020610	147998222
6	147998223	148772667
6	148772668	149112190
6	149112191	149802179
6	149802180	150637477
6	150637478	151135576
6	151135577	151472251
6	151472252	152007961
6	152007962	152536374
6	152536375	153349446
6	153349447	153901571
6	153901572	154705702
6	154705703	155253299
6	155253300	155515255
6	155515256	156161092
6	156161093	156761338
6	156761339	157443699
6	157443700	158217790
6	158217791	159515206
6	159515207	159986920
6	159986921	161365629
6	161365630	161794839
6	161794840	162092964
6	162092965	162447251
6	162447252	162932464
6	162932465	163735024
6	163735025	164359610
6	164359611	164688107
6	164688108	165319631
6	165319632	165840611
6	165840612	166193932
6	166193933	166677623
6	166677624	166874868
6	166874869	167179971
6	167179972	167713792
6	167713793	168490016
6	168490017	168911020
6	168911021	169555929
6	169555930	170211784
6	170211785	536870911
7	1	985324
7	985325	1598314
7	1598315	2480729
7	2480730	2931236
7	2931237	3196435
7	3196436	4226870
7	4226871	4573641
7	4573642	4946877
7	4946878	5414602
7	5414603	5949371
7	5949372	6888207
7	6888208	7313485
7	7313486	7810552
7	7810553	8176595
7	8176596	8330721
7	8330722	8788531
7	8788532	9122800
7	9122801	9654085
7	9654086	10354549
7	10354550	11392604
7	11392605	11854879
7	11854880	12708998
7	12708999	13578829
7	13578830	13884489
7	13884490	14249811
7	14249812	14716747
7	14716748	15225539
7	15225540	15883021
7	15883022	16735586
7	16735587	17279294
7	17279295	17811033
7	17811034	18933520
7	18933521	19130644
7	19130645	19852843
7	19852844	20482907
7	20482908	21071400
7	21071401	21730647
7	21730648	22151968
7	22151969	22708784
7	22708785	23935130
7	23935131	24586188
7	24586189	25338904
7	25338905	25908234
7	25908235	26657962
7	26657963	28041473
7	28041474	28552377
7	28552378	28939870
7	28939871	29419095
7	29419096	30429268
